"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 12 05:48:44 UTC 2026","Thu Feb 12 05:48:44 UTC 2026","390","","com.reportportal.api.LaunchesApiTest","","com.reportportal.api.LaunchesApiTest","shouldReturn404ForNonExistingLaunch","shouldReturn404ForNonExistingLaunch()",""
"passed","Thu Feb 12 05:48:40 UTC 2026","Thu Feb 12 05:48:42 UTC 2026","1623","","com.reportportal.api.LaunchesApiTest","","com.reportportal.api.LaunchesApiTest","shouldGetLaunchByUuid","shouldGetLaunchByUuid()",""
"passed","Thu Feb 12 05:48:33 UTC 2026","Thu Feb 12 05:49:10 UTC 2026","36903","","com.reportportal.ui.LaunchesUiTests","","com.reportportal.ui.LaunchesUiTests","shouldDisplayAtLeastOneLaunch","shouldDisplayAtLeastOneLaunch()",""
"passed","Thu Feb 12 05:48:39 UTC 2026","Thu Feb 12 05:48:40 UTC 2026","1204","","com.reportportal.api.LaunchesApiTest","","com.reportportal.api.LaunchesApiTest","shouldDeleteLaunch","shouldDeleteLaunch()",""
"passed","Thu Feb 12 05:48:33 UTC 2026","Thu Feb 12 05:49:12 UTC 2026","39931","","com.reportportal.ui.LaunchesUiTests","","com.reportportal.ui.LaunchesUiTests","shouldDisplayLaunchesTableHeaderWithMainColumns","shouldDisplayLaunchesTableHeaderWithMainColumns()",""
"passed","Thu Feb 12 05:48:33 UTC 2026","Thu Feb 12 05:49:12 UTC 2026","39700","","com.reportportal.ui.LaunchesUiTests","","com.reportportal.ui.LaunchesUiTests","shouldOpenLaunchesPageAfterLogin","shouldOpenLaunchesPageAfterLogin()",""
"passed","Thu Feb 12 05:48:33 UTC 2026","Thu Feb 12 05:48:37 UTC 2026","4279","","com.reportportal.api.LaunchesApiTest","","com.reportportal.api.LaunchesApiTest","shouldGetLaunchesList","shouldGetLaunchesList()",""
"passed","Thu Feb 12 05:48:42 UTC 2026","Thu Feb 12 05:48:44 UTC 2026","2047","","com.reportportal.api.LaunchesApiTest","","com.reportportal.api.LaunchesApiTest","shouldUpdateLaunch","shouldUpdateLaunch()",""
"passed","Thu Feb 12 05:48:33 UTC 2026","Thu Feb 12 05:49:13 UTC 2026","40464","","com.reportportal.ui.LaunchesUiTests","","com.reportportal.ui.LaunchesUiTests","shouldExpandLaunchAndShowBreadcrumb","shouldExpandLaunchAndShowBreadcrumb()",""
"passed","Thu Feb 12 05:48:37 UTC 2026","Thu Feb 12 05:48:39 UTC 2026","1639","","com.reportportal.api.LaunchesApiTest","","com.reportportal.api.LaunchesApiTest","shouldGetLaunchesWithPagingAndSorting","shouldGetLaunchesWithPagingAndSorting()",""
